type, attribute1, attribute2, attribute3, attribute4, attribute5, attribute6, attribute7
Female 2, Earring, Blonde Bob, Green Eye Shadow,,,,
Male 1, Smile, Mohawk,,,,,
Female 3, Wild Hair,,,,,,
Male 1, Wild Hair, Pipe, Nerd Glasses,,,,
Male 2, Goat, Earring, Wild Hair, Big Shades,,,
Female 2, Earring, Half Shaved, Purple Eye Shadow,,,,
Male 2, Do-rag,,,,,,
Female 2, Spots, Wild White Hair, Clown Eyes Blue,,,,
Male 1, Luxurious Beard, Messy Hair,,,,,
Male 2, Big Beard, Police Cap, Clown Nose,,,,
Female 1, Mohawk, Blue Eye Shadow,,,,,
Female 2, Black Lipstick, Straight Hair Dark, Clown Eyes Green,,,,
Female 1, Purple Lipstick, Blonde Short,,,,,
Female 3, Black Lipstick, Straight Hair Blonde, Big Shades,,,,
Female 1, Hot Lipstick, Pilot Helmet, Pipe,,,,
Male 4, Luxurious Beard, Wild Hair, Regular Shades,,,,
Male 2, Earring, Stringy Hair, Small Shades,,,,
Male 3, Frown, Mohawk,,,,,
Male 2, Muttonchops, Eye Mask,,,,,
Female 1, Hot Lipstick, Bandana, Horned Rim Glasses,,,,
Male 3, Crazy Hair,,,,,,
Male 3, Earring, Messy Hair, Classic Shades,,,,
Female 1, Purple Lipstick, Pilot Helmet,,,,,
Male 3, Handlebars, Earring, Do-rag,,,,
Male 3, Smile, Mohawk Dark,,,,,
Female 1, Wild White Hair,,,,,,
Female 2, Dark Hair,,,,,,
Male 3, Earring, Peak Spike,,,,,
Male 1, Crazy Hair, Big Shades,,,,,
Female 2, Earring, Half Shaved, Horned Rim Glasses,,,,
Male 1, Normal Beard Black, Cap,,,,,
Female 1, Stringy Hair,,,,,,
Male 3, Frown, VR,,,,,
Male 3, Peak Spike,,,,,,
Female 3, Purple Lipstick, Frumpy Hair,,,,,
Male 1, Normal Beard, Earring, Peak Spike, Cigarette, Horned Rim Glasses,,
Female 2, Red Mohawk,,,,,,
Female 1, Cap, Clown Eyes Blue,,,,,
Female 3, Purple Lipstick, Frumpy Hair, Classic Shades,,,,
Male 3, Frown, Shaved Head, Regular Shades,,,,
Male 3, Smile, Chinstrap, Bandana,,,,
Male 1, Muttonchops, Wild Hair, Clown Eyes Green,,,,
Female 1, Wild Hair, Cigarette,,,,,
Female 2, Half Shaved,,,,,,
Male 3, Messy Hair,,,,,,
Male 2, Mole, Earring,,,,,
Female 2, Purple Lipstick, Straight Hair Dark,,,,,
Male 1, Knitted Cap,,,,,,
Male 3, Mohawk, Big Shades,,,,,
Female 1, Bandana, Purple Eye Shadow,,,,,
Male 2, Spots, Fedora,,,,,
Male 2, Muttonchops, Earring, Wild Hair,,,,
Male 1, Shadow Beard, Earring, Knitted Cap, Nerd Glasses,,,
Female 3, Straight Hair, Big Shades,,,,,
Male 1, Hoodie,,,,,,
Male 3, Eye Patch,,,,,,
Male 1, Shaved Head,,,,,,
Male 3, Headband,,,,,,
Male 2, Normal Beard Black, Hoodie,,,,,
Male 4, Muttonchops, Cowboy Hat,,,,,
Female 3, Purple Lipstick, Stringy Hair,,,,,
Female 3, Dark Hair,,,,,,
